id,合成品名称,合成品ID,背包显示排序,子类顺序,配方类别（0常用，1战斗，2工具，3材料，4建筑，6机械，7出现在食谱内，8出现在秘银锅内。填两个表示同时显示到两个分类里）,子类(填的是crafting的id),"插件编辑（大于0开放插件编辑，1：常用,2:装备,3:道具,4:材料,5:建筑,6:装饰,7:机械；填两个表示同时显示到两个分类里",插件编辑模板[0=不是模板，1=作为模板],英文名称,海外开放,必填/插件用,合成品数量,消耗经验,横占格（填3）,竖占格（填3）,组（0不为组1为组，例如木板通用）（关联Itemdef的ItemGroup）,是否随身合成（11616钛金锤（曾经是需要工具箱0，程序特殊处理了），11000空手（曾经是不需要工具箱1，程序特殊处理了），800不完整工匠台，797完整工匠台，794石锅，795铁锅，150029融合台）,烹饪时长（制作一份所需要的标准时长，单位tick，20tick=1s）,1格材料ID,1格材料数量,1格保留容器ID,2格材料ID,2格材料数量,2格保留容器ID,3格材料ID,3格材料数量,3格保留容器ID,4格材料ID,4格材料数量,4格保留容器ID,5格材料ID,5格材料数量,5格保留容器ID,6格材料ID,6格材料数量,6格保留容器ID,7格材料ID,7格材料数量,7格保留容器ID,8格材料ID,8格材料数量,8格保留容器ID,9格材料ID,9格材料数量,9格保留容器ID,货币ID,货币数量,分数,野人合成检测开关（0需要合成；1不需要合成）
121,星能比较器,374,1126,1,[6],[21543],[7],,PowerComparator,,PowerComparator,1,0,3,3,0,800,0,11664,2,,104,3,,11210,1,,,,,,,,,,,,,,,,,,,,,,0.1,
122,秘银弹簧,842,1129,1,[6],[21542],[7],,Iron spring,,Iron spring,1,0,3,3,1,800,0,11323,3,,11209,2,,11664,1,,363,1,,,,,,,,,,,,,,,,,,,0.1,
123,炽炎弹簧,844,1130,1,[6],[21542],[7],,Gold spring,,Gold spring,1,0,3,3,1,800,0,104,3,,11207,2,,11664,1,,364,1,,,,,,,,,,,,,,,,,,,0.1,
124,轨道节点,725,1132,1,[6],[21542],[7],,RailNode,,RailNode,4,0,3,3,0,800,0,11209,2,,104,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
125,动能提升节点,729,1133,1,[6],[21542],[7],,SpeedupRailNode,,SpeedupRailNode,4,0,3,3,0,800,0,11209,2,,11207,1,,11664,1,,,,,,,,,,,,,,,,,,,,,,0.1,
126,过山车厢,13800,1134,1,[6],[21542],[7],,RollerCoasterTrain,,RollerCoasterTrain,1,0,3,3,1,800,0,11209,5,,11323,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
127,硫黄砖薄板,512,1135,1,[4],[128],[5],,SulfurBrickStep,,SulfurBrickStep,4,0,3,3,0,800,0,11214,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
128,薄板,514,1136,[26],[4],[128],[5],,WoodStep,,WoodStep,4,0,3,3,0,800,0,11323,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
129,秋叶橙薄板,515,1137,3,[4],[128],[5],,YellowOrangeStep,,YellowOrangeStep,16,0,3,3,0,800,0,11323,4,,11537,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
130,象牙白薄板,516,1138,4,[4],[128],[5],,WhiteStep,,WhiteStep,16,0,3,3,0,800,0,11323,4,,11500,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
131,海棠红薄板,517,1139,5,[4],[128],[5],,LightRedStep,,LightRedStep,16,0,3,3,0,800,0,11323,4,,11506,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
132,落日橙薄板,518,1140,6,[4],[128],[5],,RedOrangeStep,,RedOrangeStep,16,0,3,3,0,800,0,11323,4,,11536,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
133,深栗红薄板,519,1141,7,[4],[128],[5],,DeepRedStep,,DeepRedStep,16,0,3,3,0,800,0,11323,4,,11512,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
134,楼梯,520,1142,[20],[4],[134],[5],,WoodStair,,WoodStair,8,0,3,3,0,800,0,11323,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
135,秋叶橙楼梯,521,1143,1,[4],[134],[5],,YellowOrangeStair,,YellowOrangeStair,32,0,3,3,0,800,0,11323,20,,11537,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
136,象牙白楼梯,522,1144,1,[4],[134],[5],,WhiteStair,,WhiteStair,32,0,3,3,0,800,0,11323,20,,11500,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
137,海棠红楼梯,523,1145,1,[4],[134],[5],,LightRedStair,,LightRedStair,32,0,3,3,0,800,0,11323,20,,11506,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
138,落日橙楼梯,524,1146,1,[4],[134],[5],,RedOrangeStair,,RedOrangeStair,32,0,3,3,0,800,0,11323,20,,11536,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
139,深栗红楼梯,525,1147,1,[4],[134],[5],,DeepRedStair,,DeepRedStair,32,0,3,3,0,800,0,11323,20,,11512,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
140,硫黄砖楼梯,532,1148,1,[4],[134],[5],,SulfurBrickStair,,SulfurBrickStair,4,0,3,3,0,800,0,11214,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
141,云母楼梯,533,1149,1,[4],[134],[5],,SilicaStair,,SilicaStair,4,0,3,3,0,800,0,11210,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
142,曙光石块,536,1150,[10],[4],[21544],[5],,DawnStone,,DawnStone,1,0,3,3,0,800,0,11206,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
143,硫黄砖块,537,1151,[10],[4],[21544],[5],,SulfurBrickBlock,,SulfurBrickBlock,1,0,3,3,0,800,0,11214,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
144,水泥砖块,547,1152,[10],[4],[21544],[5],,CementBrickBlock,,CementBrickBlock,1,0,3,3,0,800,0,11213,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
145,青石岩砖,503,1156,[10],[4],[21544],[5],,MossRockBrick,,MossRockBrick,1,0,3,3,0,800,0,105,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
146,青石薄板,506,1157,8,[4],[128],[5],,StoneStep,,StoneStep,4,0,3,3,0,800,0,105,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
147,黄砖薄板,507,1158,9,[4],[128],[5],,SandstoneStep,,SandstoneStep,4,0,3,3,0,800,0,108,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
148,石质薄板,509,1159,10,[4],[128],[5],,RockStep,,RockStep,1,0,3,3,0,800,0,11627,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
149,水泥砖薄板,510,1160,11,[4],[128],[5],,CementBrickStep,,CementBrickStep,4,0,3,3,0,800,0,11213,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
150,精制石砖薄板,511,1161,12,[4],[128],[5],,RockBrickStep,,RockBrickStep,4,0,3,3,0,800,0,501,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
151,云母薄板,513,1162,13,[4],[128],[5],,SilicaStep,,SilicaStep,4,0,3,3,0,800,0,11210,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
152,黄砖楼梯,527,1163,1,[4],[134],[5],,SandstoneStair,,SandstoneStair,8,0,3,3,0,800,0,108,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
153,石质楼梯,529,1164,1,[4],[134],[5],,RockStair,,RockStair,2,0,3,3,0,800,0,11627,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
154,水泥砖楼梯,530,1165,1,[4],[134],[5],,CementBrickStair,,CementBrickStair,4,0,3,3,0,800,0,11213,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
155,精制石砖楼梯,531,1166,1,[4],[134],[5],,StoneBrickStair,,StoneBrickStair,8,0,3,3,0,800,0,501,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
156,碎石墙,548,1167,1,[4],[21534],[5],,StoneWall,,StoneWall,1,0,3,3,0,800,0,11627,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
157,青石墙,549,1168,1,[4],[21534],[5],,MossyWall,,MossyWall,4,0,3,3,0,800,0,105,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
158,秘银栅栏,526,1169,1,[4],[21534],[5],,MithsilverFence,,MithsilverFence,6,0,3,3,0,800,0,11209,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
159,硫黄砖围栏,538,1170,1,[4],[21534],[5],,SulfurBrickFence,,SulfurBrickFence,4,0,3,3,1,800,0,11214,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
160,云母块,412,1172,[10],[4],[21544],[5],,SilicaBlock,,SilicaBlock,1,0,3,3,0,800,0,11210,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
161,花纹云母块,413,1173,[10],[4],[21544],[5],,PatternedSilicaBlock,,PatternedSilicaBlock,1,0,3,3,0,800,0,11210,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
162,竖纹云母块,414,1174,[10],[4],[21544],[5],,VerticalSilicaBlock,,VerticalSilicaBlock,1,0,3,3,0,800,0,11210,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
163,凝能晶,11201,1175,1,[3],[21528],[4],,CondensedEnergyCrystal,,CondensedEnergyCrystal,10,0,3,3,0,800,0,416,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1
164,秘银,11209,108,1,[3],[21528],[4],,Mithsilver,,Mithsilver,10,0,3,3,0,800,0,411,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1
165,缠丝玛瑙,11511,1177,1,[3],[21528],[4],,Kyanite,,Kyanite,10,0,3,3,0,800,0,417,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1
166,钨金,11203,1178,1,[3],[21528],[4],,TungstenGold,,TungstenGold,10,0,3,3,0,800,0,408,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1
167,琥珀,11204,1179,1,[3],[21528],[4],,Malachite,,Malachite,10,0,3,3,0,800,0,409,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1
168,凝能块,416,1180,[10],[4],[21544],[4],,CondensedEnergyBlock,,CondensedEnergyBlock,1,0,3,3,0,800,0,11201,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
169,秘银块,411,1181,[10],[4],[21544],[4],,MithsilverBlock,,MithsilverBlock,1,0,3,3,0,800,0,11209,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
170,炽炎块,410,1182,[10],[4],[21544],[4],,FlameCrystalBlock,,FlameCrystalBlock,1,0,3,3,0,800,0,11207,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
171,缠丝玛瑙块,417,1183,[10],[4],[21544],[4],,KyaniteBlock,,KyaniteBlock,1,0,3,3,0,800,0,11511,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
172,钨金块,408,1184,[10],[4],[21544],[4],,TungstenGoldBlock,,TungstenGoldBlock,1,0,3,3,0,800,0,11203,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
173,琥珀块,409,1185,[10],[4],[21544],[4],,MalachiteBlock,,MalachiteBlock,1,0,3,3,0,800,0,11204,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
174,透明玻璃片,649,1186,1,[4],[21541],[6],,Glasspane,,Glasspane,12,0,3,3,0,800,0,632,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
175,细樱桃木树枝,333,1187,1,[4],[21547],,,FineCherryTreeBranch,,FineCherryTreeBranch,4,0,3,3,0,800,0,200,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
176,细落叶松树枝,335,1188,1,[4],[21547],,,FineLarchTreeBranch,,FineLarchTreeBranch,4,0,3,3,0,800,0,201,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
177,细珍木树枝,337,1189,1,[4],[21547],,,ThinRareTreeBranch,,ThinRareTreeBranch,4,0,3,3,0,800,0,257,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
178,细核桃树树枝,339,1190,1,[4],[21547],,,ThinWalnutTreeBranch,,ThinWalnutTreeBranch,4,0,3,3,0,800,0,205,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
179,细桃花树树枝,341,1191,1,[4],[21547],,,ThinPeachTreeBranch,,ThinPeachTreeBranch,4,0,3,3,0,800,0,254,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
180,细白杨木树枝,343,1192,1,[4],[21547],,,ThinPoplarTreeBranch,,ThinPoplarTreeBranch,4,0,3,3,0,800,0,202,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
181,细胡杨树枝,479,1193,1,[4],[21547],,,PopulusEuphraticaBranches,,PopulusEuphraticaBranches,4,0,3,3,0,800,0,477,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
182,锯齿碎石墙,289,1194,1,[4],[21534],,,JaggedStonewall,,JaggedStonewall,3,0,3,3,0,800,0,548,3,,12618,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
183,锯齿青石墙,290,1195,1,[4],[21534],,,JaggedMossyRockWall,,JaggedMossyRockWall,3,0,3,3,0,800,0,549,3,,12618,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
184,锯齿星球岩墙,291,1196,1,[4],[21534],,,JaggedHorasrockwall,,JaggedHorasrockwall,3,0,3,3,0,800,0,572,3,,12618,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
185,皮草床,150015,1196,1,[4],[21532],,,FurBed,,FurBed,1,0,3,3,0,800,0,11323,3,,12623,3,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
186,冰原木门,150016,1196,1,[4],[21533],,,ColdCrystalWoodenDoor,,ColdCrystalWoodenDoor,1,0,3,3,1,800,0,11323,5,,11824,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
187,雪人灯,150027,1196,[3],[4],[21522],,,SnowmanChandelier,,SnowmanChandelier,4,0,3,3,0,800,0,12623,1,,11824,1,,122,4,,,,,,,,,,,,,,,,,,,,,,0.1,
188,火盆灯,150018,1196,[3],[4],[21522],,,IceStreetLights,,IceStreetLights,1,0,3,3,0,800,0,11323,2,,11627,2,,298,1,,,,,,,,,,,,,,,,,,,,,,0.1,
189,冰原木桌,150020,1196,1,[4],[257],,,IceFernWoodenTable,,IceFernWoodenTable,1,0,3,3,1,800,0,11323,5,,11209,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
190,冰原木椅,150021,1196,1,[4],[256],,,IceFernWoodenChair,,IceFernWoodenChair,1,0,3,3,1,800,0,11323,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
191,冰原木柜,150022,1196,1,[4],[21531],,,ColdCrystalWoodCabinet,,ColdCrystalWoodCabinet,1,0,3,3,0,800,0,11323,4,,11329,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
192,冰原方木窗,150023,1196,1,[4],[21535],,,BrassSquareWoodWindows,,BrassSquareWoodWindows,2,0,3,3,0,800,0,11323,2,,649,8,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
193,毛绒地毯,150025,1196,1,[4],[21548],,,Pile carpet,,Pile carpet,1,0,3,3,0,800,0,12623,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
194,冰原窗帘,150043,1196,1,[4],[21536],,,IceCrystalCurtains,,IceCrystalCurtains,1,0,3,3,0,800,0,12600,2,,761,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
195,赫赤红颜料瓶,11514,1222,[2],"[2,3]","[21525,21525]",[4],,RedDye,,RedDye,8,0,3,3,0,800,0,12500,1,,11320,8,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
196,鹅毛黄颜料瓶,11504,1224,[2],"[2,3]","[21525,21525]",[4],,YellowDye,,YellowDye,8,0,3,3,0,800,0,378,1,,11320,8,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
197,宝石蓝颜料瓶,11532,1623,[2],"[2,3]","[21525,21525]",[4],,BlueDye,,BlueDye,8,0,3,3,0,800,0,12583,1,,11320,8,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
198,棉毡,616,1246,1,[4],[21548],[6],,WhiteRug,,WhiteRug,1,0,3,3,0,800,0,12600,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
199,皮筏,13807,1278,1,[2],[21549],[3],,Boat,,Boat,1,0,3,3,1,800,0,11323,3,,11307,3,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
200,厚实的雪,122,1280,[10],[4],[21544],[6],,SnowBlock,,SnowBlock,1,0,3,3,0,800,0,115,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
201,炽炎,11207,1055,1,[3],[21528],[4],,FlameCrystal,,FlameCrystal,10,0,3,3,0,800,0,410,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1
202,小玻璃瓶,11320,1284,1,"[2,4]","[21550,21541]",[3],,SmallGlassBottle,,SmallGlassBottle,16,0,3,3,1,800,0,632,4,,11323,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
203,软皮革布,11309,1289,1,[3],[21527],[4],,LeatherCloth,,LeatherCloth,1,0,3,3,0,800,0,11307,4,,710,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
204,皮披风,12205,1251,[1],[1],[21516],[2],,LeatherCloak,,LeatherCloak,1,0,3,3,0,800,0,11307,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
205,炽炎披风,12206,1253,[4],[1],[21516],[2],,FlameCrystalCloak,,FlameCrystalCloak,1,0,3,3,0,800,0,11504,1,,11207,3,,12205,1,,,,,,,,,,,,,,,,,,,,,,0.1,
206,钨金披风,12207,1255,[5],[1],[21516],[2],,TungstenGold-encrustedCloak,,TungstenGold-encrustedCloak,1,0,3,3,0,800,0,11074,1,,11203,3,,12205,1,,,,,,,,,,,,,,,,,,,,,,0.1,
207,缠丝玛瑙披风,12208,1254,[6],[1],[21516],[2],,KyaniteCloak,,KyaniteCloak,1,0,3,3,0,800,0,11500,1,,11511,3,,12205,1,,,,,,,,,,,,,,,,,,,,,,0.1,
208,秘银披风,12209,1252,[2],[1],[21516],[2],,MithsilverCloak,,MithsilverCloak,1,0,3,3,0,800,0,11500,1,,11209,3,,12205,1,,,,,,,,,,,,,,,,,,,,,,0.1,
209,低音块,690,1295,1,[6],[21546],[7],,BassCube,,BassCube,1,0,3,3,0,800,0,11664,1,,11307,3,,11511,1,,11329,1,,,,,,,,,,,,,,,,,,,0.1,
210,中音块,691,1296,1,[6],[21546],[7],,MediantCube,,MediantCube,1,0,3,3,0,800,0,11664,1,,11307,3,,11511,1,,11209,1,,,,,,,,,,,,,,,,,,,0.1,
211,高音块,692,1297,1,[6],[21546],[7],,High-pitchCube,,High-pitchCube,1,0,3,3,0,800,0,11664,1,,11307,3,,11511,1,,11207,1,,,,,,,,,,,,,,,,,,,0.1,
212,乐器-鼓,693,1298,1,[6],[21546],[7],,Instruments-drum,,Instruments-drum,1,0,3,3,0,800,0,11664,1,,11307,3,,11204,1,,11329,1,,,,,,,,,,,,,,,,,,,0.1,
213,乐器-电子,694,1299,1,[6],[21546],[7],,ElectronInstrument,,ElectronInstrument,1,0,3,3,0,800,0,11664,1,,11307,3,,11204,1,,11209,1,,,,,,,,,,,,,,,,,,,0.1,
214,乐器-综合,695,1300,1,[6],[21546],[7],,GeneralInstrument,,GeneralInstrument,1,0,3,3,0,800,0,11664,1,,11307,3,,11204,1,,11207,1,,,,,,,,,,,,,,,,,,,0.1,
215,非循环-电子,696,1301,1,[6],[21546],[7],,AcyclicElectron,,AcyclicElectron,1,0,3,3,0,800,0,11664,1,,11307,3,,11511,1,,11329,1,,,,,,,,,,,,,,,,,,,0.1,
216,循环-鼓,697,1302,1,[6],[21546],[7],,Cycling - Drum,,Cycling - Drum,1,0,3,3,0,800,0,11664,1,,11307,3,,11206,1,,11329,1,,,,,,,,,,,,,,,,,,,0.1,
217,循环-电子,698,1303,1,[6],[21546],[7],,Cycling - electronic,,Cycling - electronic,1,0,3,3,0,800,0,11664,1,,11307,3,,11206,1,,11209,1,,,,,,,,,,,,,,,,,,,0.1,
218,循环-氛围,699,1304,1,[6],[21546],[7],,Cycling - ambient,,Cycling - ambient,1,0,3,3,0,800,0,11664,1,,11307,3,,11206,1,,11207,1,,,,,,,,,,,,,,,,,,,0.1,
219,落日橙门,854,2305,1,[4],[21533],[6],,RedOrangeDoor,,RedOrangeDoor,1,0,3,3,1,800,0,11323,6,,11536,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
220,深栗红门,855,2306,1,[4],[21533],[6],,DeepRedDoor,,DeepRedDoor,1,0,3,3,1,800,0,11323,6,,11512,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
221,象牙白门,856,2307,1,[4],[21533],[6],,WhiteDoor,,WhiteDoor,1,0,3,3,1,800,0,11323,6,,11500,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
222,炽炎门,857,2308,1,[4],[21533],[6],,FlameCrystalDoor,,FlameCrystalDoor,1,0,3,3,0,800,0,11207,3,,11209,3,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
223,海棠红门,858,2309,1,[4],[21533],[6],,LightRedDoor,,LightRedDoor,1,0,3,3,1,800,0,11323,6,,11506,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
224,琥珀黄门,859,2310,1,[4],[21533],[6],,FruitwoodDoor,,FruitwoodDoor,1,0,3,3,1,800,0,11323,6,,11543,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
225,秋叶橙门,860,2311,1,[4],[21533],[6],,YellowOrangeDoor,,YellowOrangeDoor,1,0,3,3,1,800,0,11323,6,,11537,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
226,木纹灯,861,2312,[3],[4],[21522],[6],,WoodGrainLamp,,WoodGrainLamp,1,0,3,3,1,800,0,11323,4,,536,1,,,,,,,,,,,,,,,,,,,,,,,,,0.2,
227,象牙白玻璃灯,862,2313,[3],[4],[21522],[6],,WhiteGlassLamp,,WhiteGlassLamp,1,0,3,3,0,800,0,632,1,,11206,1,,11500,1,,,,,,,,,,,,,,,,,,,,,,0.2,
228,朱砂橙玻璃灯,863,2314,[3],[4],[21522],[6],,OrangeGlassLamp,,OrangeGlassLamp,1,0,3,3,0,800,0,632,1,,11206,1,,11501,1,,,,,,,,,,,,,,,,,,,,,,0.2,
229,胭脂红玻璃灯,864,2315,[3],[4],[21522],[6],,RedPurpleGlassLamp,,RedPurpleGlassLamp,1,0,3,3,0,800,0,632,1,,11206,1,,11502,1,,,,,,,,,,,,,,,,,,,,,,0.2,
230,天青蓝玻璃灯,865,2316,[3],[4],[21522],[6],,LightBlueGlassLamp,,LightBlueGlassLamp,1,0,3,3,0,800,0,632,1,,11206,1,,11503,1,,,,,,,,,,,,,,,,,,,,,,0.2,
231,鹅毛黄玻璃灯,866,2317,[3],[4],[21522],[6],,YellowGlassLamp,,YellowGlassLamp,1,0,3,3,0,800,0,632,1,,11206,1,,11504,1,,,,,,,,,,,,,,,,,,,,,,0.2,
232,松花绿玻璃灯,867,2318,[3],[4],[21522],[6],,LightGreenGlassLamp,,LightGreenGlassLamp,1,0,3,3,0,800,0,632,1,,11206,1,,11505,1,,,,,,,,,,,,,,,,,,,,,,0.2,
233,海棠红玻璃灯,868,2319,[3],[4],[21522],[6],,LightRedGlassLamp,,LightRedGlassLamp,1,0,3,3,0,800,0,632,1,,11206,1,,11506,1,,,,,,,,,,,,,,,,,,,,,,0.2,
234,苍石灰玻璃灯,869,2320,[3],[4],[21522],[6],,GreyGlassLamp,,GreyGlassLamp,1,0,3,3,0,800,0,632,1,,11206,1,,11507,1,,,,,,,,,,,,,,,,,,,,,,0.2,
235,浅苍灰玻璃灯,870,2321,[3],[4],[21522],[6],,LightGreyGlassLamp,,LightGreyGlassLamp,1,0,3,3,0,800,0,632,1,,11206,1,,11508,1,,,,,,,,,,,,,,,,,,,,,,0.2,
236,青碧绿玻璃灯,871,2322,[3],[4],[21522],[6],,BlueGreenGlassLamp,,BlueGreenGlassLamp,1,0,3,3,0,800,0,632,1,,11206,1,,11509,1,,,,,,,,,,,,,,,,,,,,,,0.2,
237,青莲紫玻璃灯,872,2323,[3],[4],[21522],[6],,PurpleGlassLamp,,PurpleGlassLamp,1,0,3,3,0,800,0,632,1,,11206,1,,11510,1,,,,,,,,,,,,,,,,,,,,,,0.2,
238,宝石蓝玻璃灯,873,2324,[3],[4],[21522],[6],,BlueGlassLamp,,BlueGlassLamp,1,0,3,3,0,800,0,632,1,,11206,1,,11532,1,,,,,,,,,,,,,,,,,,,,,,0.2,
239,深栗红玻璃灯,874,2325,[3],[4],[21522],[6],,DeepRedGlassLamp,,DeepRedGlassLamp,1,0,3,3,0,800,0,632,1,,11206,1,,11512,1,,,,,,,,,,,,,,,,,,,,,,0.2,
240,翡翠绿玻璃灯,875,2326,[3],[4],[21522],[6],,GreenGlassLamp,,GreenGlassLamp,1,0,3,3,0,800,0,632,1,,11206,1,,11513,1,,,,,,,,,,,,,,,,,,,,,,0.2,
241,赫赤红玻璃灯,876,2327,[3],[4],[21522],[6],,RedGlassLamp,,RedGlassLamp,1,0,3,3,0,800,0,632,1,,11206,1,,11514,1,,,,,,,,,,,,,,,,,,,,,,0.2,
242,煤乌黑玻璃灯,877,2328,[3],[4],[21522],[6],,BlackGlassLamp,,BlackGlassLamp,1,0,3,3,0,800,0,632,1,,11206,1,,11515,1,,,,,,,,,,,,,,,,,,,,,,0.2,
243,精致木床,883,2329,1,[4],[21532],[6],,WoodenBed,,WoodenBed,1,0,3,3,0,800,0,11307,3,,11323,3,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
244,豪华木床,884,2330,1,[4],[21532],[6],,LuxuryBed,,LuxuryBed,1,0,3,3,0,800,0,11307,3,,11323,3,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
245,公主床,885,2331,1,[4],[21532],[6],,RoyalBed,,RoyalBed,1,0,3,3,0,800,0,11307,3,,11323,3,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
246,熔岩号角,11215,1332,1,[2],[21550],,,LavaHorn,,LavaHorn,1,0,3,3,0,800,0,11217,1,,11218,1,,,,,,,,,,,,,,,,,,,,,,,,,100,
247,混乱号角,11216,1333,1,[2],[21550],,,ChaosHorn,,ChaosHorn,1,0,3,3,0,800,0,11219,1,,11220,1,,,,,,,,,,,,,,,,,,,,,,,,,100,
248,生命结晶,11217,1334,1,[3],[21530],,,LifeCrystal,,LifeCrystal,1,0,3,3,0,800,0,11223,3,,11211,15,,,,,,,,,,,,,,,,,,,,,,,,,50,
249,岩石结晶,11218,1335,1,[3],[21530],,,LavaCrystal,,LavaCrystal,1,0,3,3,0,800,0,536,4,,417,2,,,,,,,,,,,,,,,,,,,,,,,,,50,
250,混乱结晶,11219,1336,1,[3],[21530],,,ChaosCrystal,,ChaosCrystal,1,0,3,3,0,800,0,11224,3,,309,15,,132,1,,,,,,,,,,,,,,,,,,,,,,50,
251,宝石结晶,11220,1337,1,[3],[21530],,,GemCrystal,,GemCrystal,1,0,3,3,0,800,0,409,4,,408,2,,132,1,,,,,,,,,,,,,,,,,,,,,,50,
252,龙骨弓,12056,1155,[12],[1],[21517],,,DragonBoneBow,,DragonBoneBow,1,0,3,3,0,800,0,11221,3,,710,9,,,,,,,,,,,,,,,,,,,,,,,,,50,
