ID,名称,文本,作者
257,Chị em chúng mềnh,Làm con gái phải ngang tàn ngạo ngễ…Sống trên đời phải hóng hách kiêu sa.,Nu Than
258,Tội cái đầu ghê,"Đau đầu vì tiền, điên đầu vì tình, đâm đầu vào tường.",Sam
259,Cấm làm theo ha! Vui là chính!,Thất tình tự tử đu dây điện.Điện giật tê tê chết từ từ,OMy's
260,Quá giỏi! 1 điểm!,"Đề thi 40 câu, chỉ sai 1 câu còn lại xém đúng.",Muyn~~~~
261,Kết cấu rất quan trọng,Tui xấu nhưng được cái kết cấu nó đẹp.,myt333_80
262,Tự tin,Tuy mình không đẹp…nhưng còn lâu mới xấu.,..T3
263,Vật lý luôn là chân lý ^^,Con đường ngắn nhất để đi đến trái tim là con đường truyền máu.,huyen_trang
264,Vần ghê,Ở hiền nhặt được tiền. Ở ác nhặt được rác. Liều ăn được nhiều. Lì ăn bánh mì. Nhát thì ăn tát.,Cà Thối
265,"Có phúc cùng hưởng, nạn thì tùy","Sống chết có nhau, ốm đau tự chịu.",๖Vo๖P
266,Ai cũng là nghệ sĩ,Nghệ thuật che lấp sự bất tài cũng đòi hỏi không ít tài năng.,Mai
267,Trúc xinh,Trúc xinh trúc mọc đầu đình…Em xinh em đứng một mình kệ em.,Faragonda
268,"Kiêu ngạo, ôm gối khò khò","Chỉ tay lên trời hận đời vô đối, chỉ tay xuống gối, đi ngủ cho rồi.",*+TRUNg99
269,Mem mới tìm bạn,"Mình mới chơi game, làm quen nhé bạn!",STaR☆Bum
270,Học hành chăm chỉ,Học cho lắm tắm cũng xà bông.,*~Selena
271,Thái độ sống ^^,"Luôn luôn lắng nghe, lâu lâu mới hiểu.",tÁo
272,Cảm ơn thầy,"Tạ ơn thầy đã dẫn con vào rừng trí thức
Cảm nghĩa cô đã dắt trò đến biển yêu thương",Ken
273,Nhớ thầy và trường lớp,"Ăn quả nhớ kẻ trồng cây
Có danh có vọng nhớ thầy khi xưa.",Gia Yến
274,Thơ hay về thầy cô,"Chữ thầy trong cõi người ta
Dặm dài hoa nắng trời xa biển đầy",©ND©Yun
275,Kính gửi thầy cô,"Vua, thầy, cha, ấy ba ngôi
Kính thờ như một, trẻ ơi ghi lòng.",Thiên Vương
276,Đùa!,"Tôi đã nói “không” với ma túy, nhưng tụi nó không chịu nghe. ^0",Love_YoU
277,Đằng sau ...,Đằng sau một thèng con trái thất bại là một đứa con gái xúi dại,lAM
278,Lời hứa,Cách tốt nhất để giữ lời hứa là đừng hứa gì cả.,廴σQE
279,Có chí thì ...,Người ta có chí thì nên…còn mình có chí thì nên gội đầu.,Nhi°Nhi
280,Hãy cứ vui đi!,Nghèo mà sài sang để sau này có giàu bớt bỡ ngỡ.,côngchúalùn91
281,Đừng tưởng bở!,"Nếu có ai đó khen bạn : ” bạn có ½ là đẹp , ½ còn lại là tài năng , gộp lại thì vừa đẹp vừa tài năng ” , bạn hãy coi chừng [ ½ đẹp tức là ½ đó không có chút chất xám nào , ½ tài năng , tức là ½ đó không có chút sắc đẹp nào –> hợp lại hoá ra bạn là một con người vừa xấu vừa ngu đó sao? “>",Max36
282,Hãy tự tin và tự lập,"Đời người thứ khó chấp nhận nhất chính là việc ta nhận ra rằng sau tất cả mọi cố gắng của bản thân vì một ai đó, một thứ gì đó, thì đến cuối cùng tất cả cũng rời bỏ ta.",HoangYenNhi98
283,FA thanh thản,"Em vẫn thích bản thân cô đơn như thế. Không dựa dẫm, không vướng bận, không động lòng cũng không thất vọng.",Tiêu Linh Tinh
284,Ai khôn hơn?,Người khôn rửa tay sau khi đi tè. Người khôn hơn không tè vào tay.,βαMetaO
285,Ngày Của Cha,"Cảm ơn bố, người đã đưa con đến với thế giới này, cho con sự sống, tình yêu và nuôi dưỡng con nên người. Công lao đó con không thể nào quên.",BabiKiller
286,Lời hay từ Bill Gates,"Nếu bạn sinh ra trong nghèo khó, đó không phải là lỗi của bạn.
Nhưng nếu bạn chết trong nghèo khó, thì đó là lỗi của bạn.
Bill Gates",Soai_muội
287,Thơ hay về cuộc sống,"Làm người phải sống thẳng ngay
Đừng như con bướm đậu bay vô tình.
Sống sao thật với lòng mình
Đã hứa hẹn phải đinh ninh giữ lời.",CHERRY
288,Nếu ... thì ...,Nếu thật thà là thượng sách thì đối trá là kế sách.,Huyền
289,Nụ cười,Cái cười thành thực nhất là cười ruồi.,HEROYA
290,Cái nết và cái đẹp,"Cái nết đánh chết cái đẹp.
Cái đẹp đánh bẹp cái nết... *Sợ chưa* ",Alana~Lisa~~
291,Tự tin về nhan sắc,"Tui đẹp trai để ai thương nhớ, còn thằng giàu có để ấy lấy làm chồng. =.0 *Chảnh vì nhan sắc*",Lil_Mia
292,Tổng kết tuổi học trò,"Mười năm cắp sách theo thầy
Năm thứ mười một vác cày theo trâu",Kai456
293,Chân lý học sinh,"Học mà không chơi đánh rơi tuổi trẻ
Chơi mà không học vừa khỏe vừa vui",CPU26
294,Một kỳ thi,"Giám thị nhìn em giám thị cười.
Em nhìn giám thị lệ tuôn rơi.
Cổng trường đại học cao vời vợi.
Đồng ruộng mênh mông đón em về.",Mưa
295,Ranh ngôn,"Không có việc gì khó, chỉ sợ tiền không nhiều, đào cống và lấp bể, cố làm cũng thành không.",Chay.
296,Gửi ai sắp vào mùa thi cử,"Thà để giọt mồ hôi rơi trên trang sách
Còn hơn giọt nước mắt rơi trên đề thi","BàTrùm^,^"
297,Nhớ nàng đến điên,"Em có biết rằng anh nhớ em nhiều lắm không? Anh ăn không ngon nhưng ngủ như điên, anh đi giầy quên đi tất, ăn sáng quên đánh răng, anh dùng xăng vo gạo, anh khờ khạo cũng chỉ vì yêu em đó.",nhỏlùn123
298,Bi ai zậy ...,"Còn thời lên ngựa bắn cung
Hết thời xuống ngựa lấy thun bắn ruồi",Cô9
299,Núi và sông,Yêu anh mấy núi cũng trèo. Mấy sông cũng lội mà thấy nghèo lại thôi.,MuEkoVi
300,Học trò,"Học trò ngày nay quậy tới trời
10 thằng đi học 9 thằng chơi
3 thằng đến lớp 2 thằng ngủ
Còn lại thằng kia cũng gật gù",Tômháosắc
301,Đi học xưa và nay,"Đi một ngày đàng, học một sàng khôn
Nay: Đi một ngày đàng, tốn mấy trăm ngàn tiền xăng.",Dinh'Siêu'Sao
302,Trích dẫn hay xin được chia sẻ,"Trên đời này chỉ có thời gian là không vì bất cứ một ai, bất cứ chuyện gì mà thay đổi. Nhưng thời gian lại có thể thay đổi rất nhiều chuyện, thậm chí có thể thay đổi tất cả. - Ai cùng tôi cạn chén, Cổ Long",**Milo~~
303,Câu nói nổi tiếng,"Thật lạ là năm tháng dạy chúng ta kiên nhẫn; rằng thời gian của chúng ta càng ngắn ngủi, khả năng chờ đợi của chúng ta lại càng cao. - Elizabeth Taylor",Juliet®[1]
304,Thi đua!,"Thi đua ta quyết thi đua
Thi đua ta quyết tiến lên hàng đầu
Hàng đầu rồi biết đi đâu?
Đi đâu không biết hàng đầu cứ đi !",Mạch ひỹ
305,"Ai đó ơi, cho tớ hỏi","Trên một bãi biển xanh
Có những làn sóng trắng
Cậu ơi cho tớ hỏi
Cậu có thích tớ không?",Şun
306,Thơ chế vui,"Xăng tăng lên giá lại giật mình
Giờ đi xe máy lại thấy kinh
Tiền lương còm cõi giờ sao đủ
Điện nước xăng tăng tính sao ta
Nhiều đêm trằn trọc lo kinh tế
Ước muốn lương tăng chẳng thấy a
Hay là đạp xe cho nó khỏe
Thể dục đi làm lại hay ta.",Black.
307,Trích dẫn hay,"Cuộc sống này, đừng chọn cho mình cách sống quá khó khăn. - Trích từ ""Bước chậm lại giữa thế gian vội vã""",TrịnhBộiNhi
308,Ngắm trăng ngâm thơ,"Ở đâu trăng có nhớ người
Ở đây đang có một người nhớ trăng.",Tis
309,Trích truyện hay,"Nếu bạn đã dành trọn thời gian để chăm sóc một đóa hồng, thì đóa hồng đó sẽ trở nên vô cùng quan trọng với bạn. - Trích từ ""Hoàng Tử Bé""",ShadowsCat
310,Ngày đầu tiên đi học,"Ngày đầu tiên đi học
Em vác xác tới trường
Cô nhìn em gào thét
Thằng tóc vàng lên đây",tường
311,Bạn bè là phải thương nhau,"Cậu ơi thương lấy tớ cùng
Tuy rằng khác lớp nhưng chung một đề
Cậu cho tớ chép tý nha
Kẻo không tớ rớt về nhà mẹ la.",Kai 456
312,Thơ xin nghỉ học quá đỉnh,"Hôm nay em viết đơn này,
Kính xin được nghỉ một ngày dưỡng thương
Em tuy vẫn nhớ lớp trường
Nhưng mà sức khỏe khó lường mối nguy.",GiangHoangLe
313,Thơ tình mùa lạnh,"Này gió ơi cho ta nhờ chút việc,
Việc nhỏ thôi nhưng là cả tấm lòng,
Khi gió về nép bên cạnh người ấy,
Gió thì thầm ta nhớ ấy biết bao.",X~Chíp
314,Trích dẫn hay,Hạnh phúc quá mức đôi khi là cái bẫy của cuộc sống. (Trích dẫn sách Có hai con mèo ngồi bên cửa sổ),Oxhovty2
315,Truyện NNA - Trích dẫn tuyệt vời,"Khi người ta lớn, niềm vui và nỗi buồn cũng lớn lên theo. Trong những giấc mơ của tôi, không chỉ có châu chấu, chuồn chuồn như những ngày thơ bé. Đã có bão giông theo về trong những đêm gió luồn qua mái lá. Ờ, ngay cả giấc mơ cũng lớn lên đó thôi. (Trích dẫn sách Cây chuối non đi giày xanh)",Neko28
316,Lời hay cho tuổi học trò,"Chúng ta mất 4 năm cấp 2 để kì vọng vào 3 năm học cấp 3. Chúng ta mất 3 năm cấp 3 để khát khao về 4 năm đại học. Chúng ta mất 4 năm đại học để nhớ về 7 năm trung học. Cuối cùng, chúng ta mất cả đời để tưởng niệm về tuổi trẻ của chúng ta… (Nhím Jung/ Hà Phương)",J.Tis
317,Iu và quà,Yêu nhau tặng thuốc sát trùng. Yêu thêm tí nữa tặng thùng mì tôm.,chinsu
318,Thơ ngâm mùa Noel,"Sắp tới Noel chả có tiền
Thêm tình chẳng đậu thế là điên
Trời đang nổi gió lời kêu nhạn
Biển đã gầm vang tiếng gọi thuyền
Gói gọn niềm đau chờ lặng sóng
Vê tròn nỗi nhớ đợi bình yên
Đông về lạnh buốt rên thầm khẽ
Sắp tới Noel chả có tiền.",Biln_Tây
319,Ế chỏng chơ,Thời gian thấm thoắt thoi đưa. Thanh xuân sắp hết vẫn chưa có bồ.,Kun
320,Xin mạng bớt lag cho em nhờ nhá,"Giang hồ hiểm ác, không bằng mạng lag thất thường.",TuanThao
321,My live!,Ăn tranh thủ. Ngủ khẩn trương. Học bình thường. Yêu đương là chính.,Ri
322,Thơ vui ghê!,"Bước đến nhà em, bóng xế tà. Đứng chờ năm phút bố em ra. Lơ thơ phía trước vài con chó. Lác đác sau lưng chổi lông gà.",Trin
323,Hài quá!,"Ngoài đời em bán ve chai
Khi lên facebook xì tai vãi lều
Ngoài đời ngực lép mông teo
Qua Photoshop cong vèo thấy mê",i.gà
324,Trích sách hay,Trẻ con thì không biết cách nuôi nấng nỗi buồn dài lâu như người lớn. (Trích dẫn sách Tôi thấy hoa vàng trên cỏ xanh),Nhi22
325,Trích dẫn NNA,Con người ta khóc cũng giống như trời mưa. Chỉ khi nào hết nước thì trời mới thôi mưa và chúng ta mới thôi khóc. (Trích dẫn sách Tôi thấy hoa vàng trên cỏ xanh),Mu_Than
326,Thơ hay quá á!,"Hôm nay trời đẹp quá
Bầu trời màu xanh lá
Muốn chạy về gặp má
Ai ngờ vấp cục đá
Miệng tự nhiên kêu á
Má ơi má ơi má
Cái chân con đau quá
Ôi bài thơ hay quá!",~๏เมย์๏~
327,Thơ tình bạn,"Hoa đẹp hoa xinh có ngày tàn,
Tình mình say đắm có khi tan.
Chỉ có tình bạn là cao cả,
Không đắm không say cũng không tàn.",•Yon t
328,Thèm bún riêu òi.,"Tình yêu như bát bún riêu
Bao nhiêu sợi bún bấy nhiêu sợi tình.",يQuaىnhi
329,Hoài niệm xưa,"Hạnh phúc nào cũng chan hòa mật đắng
Cố tìm quên mà gợi nhớ suốt đời.",Vk_ Của_Anh
330,Lời trích dẫn hay,"Khi một kẻ được đối xử đặc biệt hơn những kẻ khác, tự nhiên hắn trở thành cái gai trong mắt những kẻ còn lại. (Trích dẫn sách Tôi là Bê tô)",*~Midor¥~*
331,Phải chăm học nha!,"Học ho lắm cũng ăn mắm với cà
Học tà tà cũng ăn cà với mắm
Học cho lắm cũng đi tắm cởi truồng
Học luồn xuống cũng cởi truồng đi tắm
Học cho lắm tắm hỏng có quần thay
Học cho hay tắm thay hoài cái quần cũ",Lavie
332,Trích lời của cún BêTô,Càng lớn tuổi con người càng ít nói đi. Họ nghĩ nhiều hơn. (Trích dẫn sách Tôi là Bê tô),Mì
333,Ngày đẹp,"Cảm ơn đời mỗi sớm mai thức dậy
Ta có thêm ngày nữa để yêu thương.",Nytos
334,Soái ca,"Ngồi buồn chẳng có một ai
Soi gương mình thấy đẹp trai vô cùng
Đẹp trai nhưng lại bị khùng
Bị khùng mới ngỡ vô cùng đẹp trai.",Yato Kami
335,Nhìn vậy mà hông phải vậy à ...,"Đừng thấy tao nhịn - mà ngồi lên đầu tao!
Đừng thấy tao bơ - mà nghĩ tao ngu ngơ!",AnhVip_No1
336,Đố hại não,Bạn đang cầm một cây thước và bút. Hỏi: làm sao để vẽ được một hình tròn?,XìThỏ
337,"Mắt nhắm mắt mở, giám thị ơiii!","Ngày xưa giám thị cũng đi thi
Cũng quay cũng cóp có kém gì
Mà nay giám thị lại trông chặt
Chẳng để em xem 1 tý gì",* Gøldz_abel
338,E hèm!,Cầm vàng đừng để vàng rơi. Anh ơi anh rớt người yêu rồi này.,heo py
339,Cậu gì ơi ... (vui thoai nhé),"Đất lành chim đậu, chỗ của cậu là ở bên mình.",βειla
340,Virus và gấu,Virus thì em không dính. Nhưng yêu anh thì em dương tính.,☆Ramie ..
341,Chuyện toàn vần B,"Bóng Bóng Bang Bang! Có Bà bảy bán bánh bắn bà ba bán bóng Bên bùng binh buộc Bà ba bỏ bông bóng. Bà ba bầu bạn bắt bà bảy. Bà ba, bạn bà binh bà bảy buộc bà bảy bị bênh. Bà bảy bầu bạn bà bắt bà ba bán.. bà bảy bán bưởi bạn bà ba bu bu bà bảy bầu bạn! Bà bảy bưởi biếu bà bảy bảo bà bảy bỏ bà ba. Bà bảy bưởi bế bà ba. Bố bà ba bảo bỏ bán bỏng bên bạch bé.",»Nhi~~
342,Chuyện cậu Cẩn,"Cậu Cẩn con của cụ Chánh, cháu của cô Cư, cháu của chú Chiến. Cậu Cẩn có con chó cỡ con chồn, cẳng con chó cao cở cẳng con cò, cổ cũn cởn cở cổ con cóc. Cổ con chó cậu cột cái chuông. Cậu cưng con chó cùng cực, con chó cũng cưng cậu. Cứ chiều chiều cậu cõng con chó, cầm chiếc cần câu chăm chỉ câu cá chép cạnh chân cầu cuối cồn cát. Cậu chăm chú canh chừng cước cần câu, chốc chốc cậu cất cao cần câu coi. Con cá chép cắc cớ cắn câu, cậu Cẩn cất cao cần câu, cậu cười. Chốc chốc cả con cá chuối cũng cắn câu. Cậu Cẩn cầm con cá chuối chặt cổ, chìa cho con chó cưng của cậu. Con chó của cậu cắn cổ con cá chuối co cẳng chạy. Cậu Cẩn cất cần câu, cùng các cậu choai choai chơi cờ cạnh cổng chợ.",Shin Bít Yêu
343,"
Truyện toàn = chữ T",Thưa Thẩm Toà Tôi Tên Trần Túng Tiền(Tên Thật:Trần Thiếu Tiền) Thủa Thiếu Thời Tôi Theo Thằng Trùm Trộm Tiếp Thu Toàn Tư Tưởng Thối Tha Tồi Tệ.....Tối Thứ Tư Tháng Tám Trăng Tròn Trình Trĩnh(Theo Tâm Tính) Tôi Trèo Tường Thấy Tên Trưởng Trại Thiêm Thiếp Trên Trõng Tre Tôi Thò Tay Túm Túi Tiền ....Tên Trưởng Trại Từ Từ Tỉnh Thức Túm Tóc Tạt Tai Tương Tôi Tới Tấp.... Tôi Tơi Tả ... Tiền Túng .. Tình Tan ... Tư Tưởng Tôi Tồi Tàn .... Tôi Tiến Tới Tự Tử,Monxuka
344,Thơ chế mà chí lý,"Cha mẹ khó nhọc nuôi ta lớn
Bạn bè chơi “xấu” khiến ta khôn.",LCHUA
345,Bạn học của mình ơi,"Nhớ xưa áo trắng tinh khôi
Học tan ở lớp sóng đôi đi về
Đôi bạn hẹn ước cùng thề
Thi vào đại học ta về trường chung",Mãin Yêun Em
346,Ngồi nhìn đồng hồ,"Một năm thấm thoát thoi đưa
Vậy mà anh vẫn chưa cưa được nàng.",Hanako{yukushika
347,Thơ chế học đường,"Mẹ ngồi, Mẹ khóc vì con
Con lừa dối Mẹ không mời phụ huynh
Điểm không Cô viết to đùng
Kèm theo trong ngoặc là không thuộc bài",Anny
348,CHẠY MẤT DÉP 8/3,"Tháng ba ngày tám đã qua rồi
Đến mãi bây giờ chửa lại hơi
Ngữ đẹp tiền hoa dâng hiến cả
Lời bay đạn pháo nã tơi bời.....
Nhiều anh quá hoảng chuồn cho lẹ
Lắm kẻ kinh hồn lặn mất toi
Ví thử hàng năm nhiều lễ vậy
Chắc là sẽ ngẻo hết mà thôi....!

Thơ: Khang Nguyên (ST)",Nhoc^Co^Don
349,Toàn Cảnh 8/3,"Vậy là sắp tám tháng ba
Chị em phụ nữ lại bài ca đòi quà
Từ em chuyển hết thành bà
Quần sắn ngang gối ngồi nhà khiển sai

Tgiả Hòa Quang (ST)",Cậu Ấm
350,Chế ngày con gái,"Hôm nay ngày Tám tháng Ba
Quý vị phụ nữ đi ra đi vào.
Hôm nay khác với hôm nào
Quý vị phụ nữ đi vào đi ra...",Cu Bin
351,Thơ vui ngày Phụ Nữ,"Hôm nay mồng tám tháng ba
Chị em phụ nữ đi ra đi vào
Trên tay cầm củ xu hào
Phân vân không biết nên xào hay kho!",Cu Lì
352,Thơ 8/3,"Hôm nay mồng tám tháng ba
Giá hoa thì đắt, giá quà thì cao",Tiểu Hổ
353,Thơ vui 8/3,"Em ơi mùng 8 tháng 3
Anh xin tình nguyện trông nhà cho em
Em đi thoải mái suốt đêm
Anh ngoan chỉ biết chong đèn chờ thôi",Tiểu Báo
354,Ngày của bố,"Hôm nay, là một ngày đặc biệt của bố, con không giỏi thể hiện cảm xúc nên chỉ biết gửi đến bố chúc mừng và lời cảm ơn chân thành. Con rất vui và tự hào được làm con của bố.",Trùm
355,Yêu ba lắm.,"Con cảm ơn Ba vì đã luôn là người soi đường cho chúng con từ thời thơ bé đến bây giờ, để con luôn tự tin và vượt qua mọi khó khăn. Và con chỉ có một mong ước là Ba có nhiều sức khỏe và luôn vui vẻ như bây giờ, bên cạnh chúng con.",Bảnh
356,Gửi ngày của Cha,"Người ta mừng ngày của cha bằng những món quà đắt tiền, con ở xa mừng ngày của cha bằng những lời nói xuất phát từ tận trái tim. Con cầu chúc cha sức khỏe luôn dồi dào để mãi bên cạnh con.",Củ Mật
357,Viết tắt bá đạo!,"CMSN: Chúc mày số nhọ (Chúc mừng sinh nhật)
SNVV: Sau này vất vả (Sinh nhật vui vẻ)
HPBD: Hạnh phúc bớt đi (Happy Birthday)",Củ Gấu
358,Chúc chị hai!,"Nhanh đi ra khỏi cái động ""ế"" đi, ở mãi trong ấy làm gì? Truyền lại chức hội trưởng cho lớp trẻ đi nhé!",Sự Tử
359,Gửi bạn chưa quen ^^,"Cái bình này không có chất béo, không cholesterol, và không chứa chất gây nghiện. Nó chỉ có nhiều đường vì những điều ngọt ngào dành tới một bạn nào đó đang đọc he he.",Chồn
360,Chúc bâng quơ,"Chúc ai chộp được cái bình này ngày càng tài sắc, tiền luôn đầy túi, bụng ngày càng nhiều múi và người yêu chất cao hơn núi.",Cáo
361,Một điều tốt lành,Chúc ai đó luôn trẻ khỏe… nhưng không bị ghẻ…ahihi.,Ba Láp
362,Hép pi bớt đây một ai đó trng game nì! (nhận được hay ko hên xui héhe),"Thượng thọ vui vẻ! Tuổi mới ăn no chóng lớn, tiền bạc đầy nhà và gà thì đầy chuồng nha!",Phi Công Trẻ
363,"Mừng sinh nhật bạn, ném cái bình để chúc phúc.","chúc bạn thân của tao ngày càng xinh, tất nhiên vẫn xấu hơn tao; xinh xắn nhưng trông phải mắn đấy nhé!",Bạn dấu tên
364,Chúc sinh nhật bạn thân,"Gửi bạn thân của tao: Chúc mày sinh nhật vui vẻ, trẻ lâu, muốn có gấu thì nhớ sủa ""gâu gâu"" thật lâu vào nhé!",Băng Nhi
365,Tâm Sự Mini,Chúc các bạn có thật nhiều bạn bè chia sẽ những niềm vui và nổi buồn của mình nhé!,Bánh bèo
366,Tâm Sự Mini,"Nhưng khi bạn ở 1 nhóm nào đó của MiniWorld bạn sẽ có người bạn luôn bên bạn luôn chơi game cùng bạn, luôn nói chuyện đùa vui với bạn sau những giờ học, làm việc căng thẳng của mình?. "" Nhưng các cũng đừng quá tin người nhé ko sẽ như những vấn đề hay bốc phốt nhau khi tình bạn ko còn nhé hihi",Bé heo
367,Tâm Sự Mini,"- Tình bạn trong Game MiniWorld có ko????
 Đính chính là có nha, từ 1 kẻ chơi 1 mình bạn sẽ cô đơn rồi từ từ bạn sẽ được kết bạn thêm nhiều bạn bè kết bạn thêm nhiều hơn nữa???",Bé lùn
368,Làm quen bạn mới,Trên Trái Đất có 8.000.000.000 người. Và cái bình của mình rơi vào tay cậu. Chúng mình làm quen nhé!,Bé mập
369,Thơ vui vui!,"Đang đi trên đường, bỗng thấy bất thường.
Úp mặt vào tường. Lại thấy…bình thường",Bé yêu
370,Làm quen nha!,"Bạn gì ơi, gặp nhau có duyên, làm quen qua bình này nhoa!",Cá Sấu
371,"Làm quen nha, bạn gì ơi!","Ai đó nhận được, nhắn lại cho tớ nhé! Ném bình vui lém nè.",Ghế không tựa
372,HAHAHA,"Bước đến nhà em, bóng xế tà. Đứng chờ năm phút bố em ra. Lơ thơ phía trước vài con chó. Lác đác đằng sau chổi lông gà.",Girl bánh bèo
373,Hỏi bạn chưa quen.,Tại sao chỉ có danh hiệu bà mẹ việt nam anh hùng mà không có danh hiệu ông bố việt nam anh hùng nhỉ ?,Hãy để em
374,Buồn ...,"Khi lòng người giông bão, không có nơi nào gọi là bình yên.",Hở tý là khóc
375,Thơ ngày buồn,"Ai bảo rằng cây không buồn, không khóc…đá không sầu không nhớ thương ai ? Cây không buồn sao lá vàng rơi rụng. Đá không sầu sao đá phủ rêu xanh.",Khuôn mặt xinh đẹp.
376,Tếu ghê!,Cuộc đời luôn bất công nên cọng lông không bao giờ thẳng…. cuộc đời cũng chả bao giờ bình đẳng nên đừng cố vuốt thẳng cọng lông.,Lão Đại chờ em.
377,Hãy làm điều thiện,Giá trị đích thực của sự cho đi không nằm ở giá trị của món cuà lớn hay nhỏ. Nó nằm ở tấm lòng của người cho đi.,Linh ngốc nghếch
378,Hạnh phúc,"Hạnh phúc là khi người cho không hề nhớ đến và người nhận
không hề quên đi.",Mập mạp tròn tròn
379,Hãy cho đi ...,"Cho đi yêu thương tự ắt hạnh phúc sẽ tìm đến. Hãy cứ lạc quan
yêu đời, mọi chuyện rồi sẽ qua.",Miu miu
380,Lòng tốt,Một người đã quyết định cho đi rồi thì họ chẳng bao giờ chờ đợi được nhận lại.,Mrs 44 Lady killer
381,Niềm vui chia sẻ,"Khi bạn cho đi là bạn đã nhận được nhiều hơn thế. Nhận lại chính
là niềm vui vô hình mà bạn không bao giờ chạm vào được.",Mùa hè có tuyết
382,Ước gì là vậy,Tiền là giấy – Thấy là lấy,Quỳnh Bê Bê
383,Điều tui hy vọng,Tôi chỉ muốn hai điều: Giảm cân và ăn.,Dịch Vụ
384,Suy nghĩ trng tui,"Trông tôi có vẻ đang suy nghĩ đấy, nhưng đến 90% suy nghĩ trong bộ não tôi là nên ăn gì tiếp theo.",Linh Keoo
385,Yêu thương là gì nhỉ?,Yêu thương có thể lắp đầy tất cả chỉ trừ cái bao tử của bạn mà thôi.,Vợ Của't Đệ't
386,Ham ăn và giảm béo là mâu thuẫn,Bi kịch của đời người là đam mê đặc biệt với ấm thực nhưng lại tích cực giảm cân.,Kuun Ánh
387,Muốn ăn!,"Tiền là nhất, đồ ăn là nhì, vì không có tiền nên sẽ không có đồ ăn.",Tuyết Khểnh
388,Ăn là chuyện quan trọng,"Tình yêu chỉ là hạt cát, vì đồ ăn đã lấn át tình yêu.",Pé Pi
389,Chí lý!,"Nếu như ăn là sai, thì tôi đây không cần đúng.",Tũnn Mập's
390,Dáng ai?,Mập thì đẹp - Óm thì dễ thương - Lòi xương thì dễ mến.,Yến MiuMiu
391,Than thân ^^,Nhà mình nghèo đến nỗi...bột giặt cũng không đủ xài.,Trang Xu
392,Khóc ^^,Đằng sau nụ cười là nước mắt...đằng sau nước mắt là..cá sấu.,Hươngg Trà
393,Định luật hay!,Cũng như bao định luật bảo toàn khác...đói thì phải ăn (định luật bảo toàn tính mạng).,Chị Thanh'x
394,Ao ước ^^,"Có khi nào trên đường đời tấp nập, ta vô tình vấp phải sấp đô la?",SsVi. Đời'ss
395,Ăn cho lắm vô ...,Có công ăn vặt có ngày lên cân.,Cô Bé Buồn
396,Ăn,"Độc lập tự do, miếng nào to thì gấp.",Cơn Mưa Ngang Qua
397,"Đừng mà, ngại lém!","Ép dầu ép mỡ, ai lỡ ép ăn.",Cơn Mưa Qua
398,Tự dặn lòng,"Biết ăn là sẽ mập, nhưng dặn lòng, đằng nào cũng méo yêu ai.",Sunny
399,Tiết kiệm - và ăn no,"Tiết kiệm là quốc sách, còn ăn là quất sạch.",Tóc Xoăn
400,Khuyên bạn,"Đừng ăn thỏa đói, đừng nói thỏa giận.",Thỏ Cony
