皮肤ID,皮肤名称,皮肤模型,贴图ID,头像,特效类型1[1=脚印，2=飞行，3=周身],特效1命名,特效类型2[1=脚印，2=飞行，3=周身],特效2命名,商店特效,购买天数1,钱类型1/1道具可用迷你币代替2只迷你币3只道具4迷你豆5道具可用迷你豆代替6仅激活码解锁,消耗道具ID1,价格1,购买天数2,钱类型2/1道具可用迷你币代替2只迷你币3只道具4迷你豆5道具可用迷你豆代替,消耗道具ID2,价格2,购买天数3,钱类型3/1道具可用迷你币代替2只迷你币3只道具4迷你豆5道具可用迷你豆代替,消耗道具ID3,价格3,皮肤描述,购买提示类型（1前往家园和取消 2只有确定）,购买提示,标签（1限时 2折扣 3特惠 4典藏）,限时开始,限时结束,开放渠道ID（-1全关，0全开）,音效,高度,宽度,厚度,受击高度,受击宽度,受击厚度,特别效果类型1（1=变形，2=互动动作，3=变色，4=语音试听，5=专属动作，6=幻化，7=功能说明，8=召唤，9=变身，10=天赋）,特别效果1图标,特别效果1描述,特别效果类型2（1=变形，2=互动动作，3=变色，4=语音试听，5=专属动作，6=幻化，7=功能说明，8=召唤，9=变身，10=天赋）,特别效果2图标,特别效果2描述,特别效果类型3（1=变形，2=互动动作，3=变色，4=语音试听，5=专属动作，6=幻化，7=功能说明，8=召唤，9=变身，10=天赋）,特别效果3图标,特别效果3描述,特别效果类型4（1=变形，2=互动动作，3=变色，4=语音试听，5=专属动作，6=幻化，7=功能说明，8=召唤，9=变身，10=天赋）,特别效果4图标,特别效果4描述,特别效果类型5（1=变形，2=互动动作，3=变色，4=语音试听，5=专属动作，6=幻化，7=功能说明，8=召唤，9=变身，10=天赋）,特别效果5图标,特别效果5描述,特别效果类型6（1=变形，2=互动动作，3=变色，4=语音试听，5=专属动作，6=幻化，7=功能说明，8=召唤，9=变身，10=天赋）,特别效果6图标,特别效果6描述,背景图,背景动画文件,背景动画文件,动态商城图标（已废弃，改为读SkinCostDef装扮服务器表）,变形类型[不填=不显示变形按钮，1=变身为坐骑（且优先显示装扮），2=变身为装扮2（且优先显示装扮1），3=变身为坐骑（且优先显示坐骑）],变形关联（填入坐骑、装扮ID）,小窗logo,小窗尺寸(正常不填为2.0),野人举起高度,AR动捕支持（1支持，空则不支持）,备注标准人形骨骼（1为支持，0为不支持）,换装ID,头像框：只能永久,"表情动作（100140,100108）",解锁道具,装扮图片,互动关联,"多重换装ID(index_skinid,index表示对应的第几条特性,skinid表示皮肤id,有多个变色效果时用逗号隔开)",多重换装前置id,切换顺序,是否显示（1=不显示）,语音范围（半径）,出场语音,间隔时间1,初次判断时间1,休闲语音,间隔时间2,初次判断时间2,死亡语音,间隔时间3,社交语音,间隔时间4,初次判断时间3,光照条件,幻化特效,幻化准备时间,功能说明(1:幻化),动作播放顺序,召唤ID,变身条件（1=水环境之外的环境，2=水环境）,变身特效,变身时间,天赋buff,跳转ID（全局跳转id_定制id）,左侧边栏背景色,可搭配部件类型,列表模型缩放比|y轴位移
46,黯,140044,,75,,,1,140044_3,140044_1,,2,,,,,,,-1,2,,298,他希望自己在别人眼里是个冷酷的人，日常装冷酷。却常常因为注意力不集中而被搭档吐槽。,,,,,,999,skin44,180,60,60,220,120,120,,,,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方会留下飞镖脚印。,,,,,,,,,,,,0,,,,,,180,,,,,,20423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,啾啾,140045,,76,3,140045_2,,,140045_1,,2,,,,,,,-1,2,,198,"你相信吗，天空的每一朵云，都有它独特的味道。我愿做你的翅膀,带你去世界最美丽的地方。",,,,,,999,skin45,180,60,60,220,120,120,,bodyeffcet,身体特效：皇冠上飘散着金光！,,headicon,头像：解锁头像。,,,,,,,,,,,,,,,0,,,,,,180,,,,,,20424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,华乐,140046,,77,3,140046_2,,,140046_1,,2,,,,,,,-1,2,,0,和平，就由我来守护，为了朋友和家园！,,,,,,999,skin46,180,60,60,220,120,120,,bodyeffcet,身体特效：背部机甲会飘散金色粒子和电光！,,headicon,头像：解锁头像。,,,,,,,,,,,,,,,0,,,,,,180,,,,,,20425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,大毛,140047,,78,,,1,140047_3,140047_1,,2,,,,,,,-1,2,,0,来自珠穆朗玛峰的小雪人，电影《雪人奇缘》中的主角。拥有操控自然的神奇魔力，在探险途中，与你一路暖萌相伴。,,,,,,999,skin47,180,60,60,220,120,120,,,,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方会留下冰晶大脚印。,,,,,,,,,,,,0,,,,,,180,,,,,,20426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,乔克,140048,,79,3,140048_2,1,140048_3,140048_1,,2,,,,,,,-1,2,,0,“哟！远道而来的旅行者，想来看看不可思议的魔术表演吗？最奇妙的演出都在这里啦！”,,,,,,999,skin48,180,60,60,220,120,120,,,,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方会留下魔术图案。,,,,,,,,,,dtxx_beijingtu03,,0,,,,,,180,,1,,,,20427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,小艾,140049,,80,,,1,140049_3,140049_1,,2,,,,,,,-1,2,,0,哈哈！规则就是用来打破的，不过我可以给你一个甜蜜的理由！,,,,,,999,skin49,180,60,60,220,120,120,,,,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方会留下棒棒糖脚印。,,,,,,,,,,,,0,,,,,,180,,,,,,20428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,擎天柱,140050,,81,3,140050_2,1,140050_3,140050_1,,2,,,,,,,-1,2,,0,我是擎天柱，向星际间所有流亡的博派人发出此讯息，我们在这里，等你们!,,,,,,999,skin50,180,60,60,220,120,120,,bodyeffcet,身体特效：游戏内可实现变形功能，切换形态！,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方会留下阵营标志脚印。,1,changeicon,#cda5b0a变形：点击左侧变形按钮，可切换机器人/载具形态！#n,,skill,#cda5b0a变形金刚专属技能：汽车人攻防！#n,,,,dtxx_beijingtu04,,0,transformers_icon1,1,3449,icon_52,1.7,180,,,,,,20429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,威震天,140051,,82,3,140051_2,1,140051_3,140051_1,,2,,,,,,,-1,2,,0,不论是失败还是背叛，我永远不会被征服，我是威震天。,,,,,,999,skin51,180,60,60,220,120,120,,bodyeffcet,身体特效：游戏内可实现变形功能，切换形态！,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方会留下阵营标志脚印。,1,changeicon,#cda5b0a变形：点击左侧变形按钮，可切换机器人/载具形态！#n,,skill,#cda5b0a变形金刚专属技能：聚变加农炮！#n,,,,dtxx_beijingtu04,,0,transformers_icon2,1,3451,icon_53,1.7,180,,,,,,20430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,慕斯,140052,,83,,,1,140052_3,140052_1,,2,,,,,,,-1,2,,0,圣诞节最不能缺少的，就是雪花、糕点、绚丽的魔法和甜甜的你！,,,,,,999,skin52,180,60,60,220,120,120,,,,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方会留下草莓脚印。,,,,,,,,,,dtxx_beijingtu05,,0,,,,,,180,,,,,,20431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,金柚柚,140053,,84,,,1,140053_3,140053_1,,2,,,,,,,-1,2,,0,初来到迷萌星球的可爱双子，来自一个丰饶富足的地方。开朗的金柚柚，最喜欢收集秋天的果实和落叶，然后在冬天做成各种物品提供给大家。用他的话说，共享才是「丰饶」的诀窍。,,,,,,999,skin53,180,60,60,220,120,120,,,,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方会留下栗子脚印。,,,,,,,,,,dtxx_beijingtu06,,0,,,,,,180,,,,,,20432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,喜团团,140054,,85,3,140054_2,1,140054_3,140054_1,,2,,,,,,,-1,2,,0,初来到迷萌星球的可爱双子，来自一个丰饶富足的地方。勤劳的喜团团，总要花很多时间用自己的能力去帮助难以抵抗寒冬的小动物。她希望有更多伙伴来一起传递这份「丰饶」的力量。,,,,,,999,skin54,180,60,60,220,120,120,,bodyeffcet,身体特效：身上飘散着花朵！,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方会留下平安结脚印。,,,,,,,,,,dtxx_beijingtu06,,0,,,,,,180,,,,,,20433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,林千树,140055,,86,,,1,140055_3,140055_1,,2,,,,,,,-1,2,,0,看起来是个不修边幅的老顽童，其实武功高强，是朔野城长老；同时也是程锦衣、离和黯的师傅。他觉得当今世上一个能打的都没有，所以脾气温和了许多，也多年不问江湖。,2,解锁道具可由活动获得,,,,999,skin55,180,60,60,220,120,120,,,,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方会留下酒葫芦脚印。,,,,,,,,,,,,0,,,,,,180,,,,,,20434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,大黄蜂,140056,,87,3,140056_2,1,140050_3,140056_1,,2,,,,,,,-1,2,,0,我是大黄蜂，和你认识最久的朋友，擎天柱，我愿意为你付出我的生命。,,,,,,999,skin56,180,60,60,220,120,120,,bodyeffcet,身体特效：游戏内可实现变形功能，切换形态！,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方会留下阵营标志脚印。,1,changeicon,#cda5b0a变形：点击左侧变形按钮，可切换机器人/载具形态！#n,,skill,#cda5b0a变形金刚专属技能：黄蜂突刺！ #n,,,,dtxx_beijingtu04,,0,transformers_icon1,1,3453,icon_52,,180,,,,,,20435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,花幽幽,140057,,88,3,140057_2,,,140057_1,,2,,,,,,,-1,2,,0,仙气十足的花幽幽很享受徜徉在花海的感觉。她的房前屋后都种满了花朵，路过的小朋友都会被沁人的香气所吸引。而这次，听说魔法星球的能量会让鲜花产生一些奇妙的变化，作为园艺师的她欣然前往。,,,,,,999,skin57,180,60,60,220,120,120,,bodyeffcet,身体特效：身上飘散着星光！,,headicon,头像：解锁头像。,,,,,,,,,,,,,,,0,,,,icon_55,,180,,,,,,20436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,星灵,140058,,89,3,140058_2,1,140058_3,140058_1,,2,,,,,,,-1,2,,0,每一个来自天空的闪亮星灵，都在寻找和它志趣相投的小朋友。当小朋友对着天空许愿时它就能听到诉求，来到小朋友身边一起创造新世界。,,,,,,999,skin58,180,60,60,220,120,120,,bodyeffcet,身体特效：身上飘散着彩虹！,,headicon,头像：解锁头像。,,,,,,,,,,,,,,,0,giflogo_60,,,,,180,,,,,,20437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,雪球球,140059,,90,3,140059_2,1,140059_3,140059_1,,2,,,,,,,-1,2,,0,雪山上的豹族少女，出生时就被选定成为高原上的守护者，从小就尽职尽责地保护这片净土。虽然很温柔，但面对家园危机时展现出了令人钦佩的勇气和坚强。,2,解锁道具可由活动获得,,,,999,skin59,180,60,60,220,120,120,,bodyeffcet,身体特效：身上飘散着雪花！,,headicon,头像：解锁头像。,,,,,,,,,,,,,,,0,giflogo_61,,,,,180,,,,,,20438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,爱丽丝,140060,,91,3,140060_2,,,140060_1,,2,,,,,,,-1,2,,0,魔法学院的少女爱丽丝被一张扑克牌带入到了一个奇妙的世界。在那里，她邂逅了善良的兔子先生。尽管这是一场未知的冒险，但只要有兔子先生一起，在哪里都是奇妙之旅。,,,,,,999,skin62,180,60,60,220,120,120,,bodyeffcet,身体特效：身上飘散着印花！,,headicon,头像：解锁头像。,,,,,,,,,,,,,dtxx_beijingtu08,,0,,,,,,180,,,,,,20439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,蛙太郎,140061,,92,,,1,140061_3,140061_1,,3,,,,,,,-1,2,,0,在迷萌蛙族长大的他从小就学会了许多忍术，也练就了超强的抗打击力。比起训练，蛙太郎最喜欢的事情，还是在夏天的夜晚躺在池塘边的芦苇里，听取蛙声一片。,2,解锁道具可由活动获得,,,,999,skin63,180,60,60,220,120,120,,,,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方会留下青蛙脚印。,,,,,,,,,,,,0,,,,,,180,,,,,,20440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,红蜘蛛,140062,,93,3,140064_2,1,140051_3,140064_1,,2,,,,,,,-1,2,,888,红蜘蛛觉得自己“命中注定就是霸天虎领袖”，喜欢逞一时的口舌之快，时刻想着与威震天争权夺利，因此无意中破坏了不少狂派的进攻计划，让威震天头疼不已。,2,,,,,999,skin64,180,60,60,220,120,120,,bodyeffcet,身体特效：游戏内可实现变形功能，切换形态！,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方会留下阵营标志脚印。,1,changeicon,#cda5b0a变形：点击左侧变形按钮，可切换机器人/载具形态！#n,,skill,#cda5b0a变形金刚专属技能：空中警报！#n,,,,dtxx_beijingtu04,,0,transformers_icon2,1,3464,icon_53,,180,,,,,,20441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,热破,140063,,94,3,140065_2,1,140050_3,140065_1,,2,,,,,,,-1,2,,0,他沉稳、冷静、充满责任感，是博派的未来领袖，是宇宙和平新的希望，面对邪恶他无所畏惧，不论情况多么危险，他都会毫不迟疑地马上行动。,,,,,,999,skin65,180,60,60,220,120,120,,bodyeffcet,身体特效：游戏内可实现变形功能，切换形态！,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方会留下阵营标志脚印。,1,changeicon,#cda5b0a变形：点击左侧变形按钮，可切换机器人/载具形态！#n,,skill,#cda5b0a变形金刚专属技能：红色闪电！#n,,,,dtxx_beijingtu04,,0,transformers_icon1,1,3466,icon_52,1.8,180,,,,,,20442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,惊破天,140064,,95,3,140066_2,1,140051_3,140066_1,,2,,,,,,,-1,2,,0,他是比威震天更强大更残酷无情的暴君，经过改造，他的征服与统治的自信和野心无人能及，他是力量的化身，整个宇宙都满足不了这个无情的暴君的胃口。,,,,,,999,skin66,180,60,60,220,120,120,,bodyeffcet,身体特效：游戏内可实现变形功能，切换形态！,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方会留下阵营标志脚印。,1,changeicon,#cda5b0a变形：点击左侧变形按钮，可切换机器人/载具形态！#n,,skill,#cda5b0a变形金刚专属技能：聚变激光！#n,,,,dtxx_beijingtu04,,0,transformers_icon2,1,3468,icon_53,1.7,180,,,,,,20443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,全能玩家劳尔,140065,,96,3,140067_2,,,140067_1,,,,,,,,,-1,2,,0,游走在虚拟与现实之间，劳尔习惯把生活中的种种问题都当作游戏中的一个个关卡来解决。如果运气和实力都无法通关，那么就交给时间吧。时间会让人成长，而成长是解决问题的最终答案。,,解锁道具可由活动获得,,,,999,skin67,180,60,60,220,120,120,,bodyeffcet,身体特效：身上飘散着字符！,,headicon,头像：解锁头像。,,,,,,,,,,,,,dtxx_beijingtu09,,0,,,,,1.75,180,,,,,,20444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,电玩少女铃音,140066,,97,3,140068_2,,,140068_1,,2,,,,,,,-1,2,,0,电玩少女铃音最喜欢的事，就是带着机械伙伴小魔方穿梭于虚拟与现实之间，饶有兴致地探索这个世界的乐趣，享受着热闹与繁华。但每次铃音都只是短暂停留，因为她一直在寻找能真正触动到她的霓虹光彩。,2,解锁道具可由活动获得,,,,999,skin68,180,60,60,220,120,120,,bodyeffcet,身体特效：身上飘散着紫色粒子！,,headicon,头像：解锁头像。,,,,,,,,,,,,,dtxx_beijingtu10,,0,,,,,,180,,,,,,20445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,青弦,140067,,98,3,140069_2,,,140069_1,,2,,,,,,,-1,2,,0,身为“粽艺坊”的传人，青弦却梦想着成为古筝大师。她与父母约定，只要她能让“粽艺坊”声名不坠，家人就不能阻止她学习古筝。对于青弦来说，“粽艺坊”与“古筝大师”，从来不是二选一，因为她两个都要。,,,,,,999,skin69,180,60,60,220,120,120,,bodyeffcet,身体特效：身上飘散着粽叶！,,headicon,头像：解锁头像。,,,,,,,,,,,,,,,0,,,,,,180,,,,,,20446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,紫悦女孩,140068,,205,3,140070_2,,,140070_1,,2,,,,,,,-1,2,,0,紫悦是最富有学识的小马。她热爱读书，擅长领导。宇宙公主让她到小马镇学习友谊的魔法，她不仅掌握了知识，还创造了新的友谊魔法。,,,,,,999,skin70,180,60,60,220,120,120,,bodyeffcet,身体特效：身上飘散着魔法字符！,,headicon,头像：解锁头像。,,,,,,,,,,,,,dtxx_beijingtu11,,0,giflogo_70,,,icon_54,,180,,,,,,20447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,宇宙公主女孩,140069,,206,3,140071_2,,,140071_1,,,,,,,,,-1,2,,468,她是极具影响力的小马国的统治者之一，拥有强大的魔法。虽然是掌管着白天的宇宙公主，却十分平易近人，喜欢吃蛋糕这一点，让她在端庄优雅之下也有可爱的一面。,,,,,,999,skin71,180,60,60,220,120,120,,bodyeffcet,身体特效：身上飘散着金色粒子！,,headicon,头像：解锁头像。,,,,,,,,,,,,,dtxx_beijingtu12,,0,giflogo_70,,,icon_54,,180,,,,,,20448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,柔柔女孩,140070,,207,3,140072_2,1,140072_3,140072_1,,,,,,,,,-1,2,,0,柔柔居住在小马谷边缘的木屋里，能与各种各样的动物进行沟通并与它们成为朋友，还可以指挥它们一起行动。她在和谐之元中代表“善良”。,,,,,,999,skin72,180,60,60,220,120,120,,bodyeffcet,身体特效：身上飘散着金色粒子！,,headicon,头像：解锁头像。,,,行走足迹：游戏版本过低,,,,,,,,,,dtxx_beijingtu11,,0,giflogo_70,,,icon_54,,180,,1,,,,20449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,月亮公主女孩,140071,,208,3,140073_2,1,140073_3,140073_1,,,,,,,,,-1,2,,468,月亮公主是宇宙公主的妹妹，小马利亚的第二统治者，负责掌管夜晚和梦境、升起月亮，经常拯救噩梦中的小马。她表面神秘冷漠，实则和蔼可亲。,,解锁道具可由活动获得,,,,999,skin73,180,60,60,220,120,120,,bodyeffcet,身体特效：身上飘散着月亮图案！,,headicon,头像：解锁头像。,,,行走足迹：游戏版本过低,,,,,,,,,,dtxx_beijingtu12,,0,giflogo_70,,,icon_54,,180,,1,,,,20450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,钢锁,140072,,209,3,140074_2,1,140050_3,140074_1,,,,,,,,,-1,2,,0,钢锁是机器恐龙的指挥官，是最强大的机器恐龙，他冒失莽撞的个性让汽车人们头痛不已，但也以他的勇敢率领恐龙们多次拯救汽车人于危难。,,解锁道具可由活动获得,,,,999,skin74,180,60,60,220,120,120,,bodyeffcet,身体特效：电磁火花闪烁,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方会留下阵营标志脚印。,1,changeicon,#cda5b0a变形：点击左侧变形按钮，可切换机器人/机械恐龙形态！#n,,skill,#cda5b0a变形金刚专属技能：暴龙咆哮！#n,,,,dtxx_beijingtu04,,0,transformers_icon1,3,3473,icon_52,1.7,180,,,,,,20451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,飞标,140073,,210,3,140075_2,1,140050_3,140075_1,,,,,,,,,-1,2,,0,飞标的单纯思想和莽撞行为有时令人头痛不已，但其实他是一位心地善良的勇士，他在机器恐龙队伍中发挥着巨大作用，肩负着战前侦查的重要使命。,,,1,1599204237,1603036799,999,skin75,180,60,60,220,120,120,,bodyeffcet,身体特效：电磁火花闪烁,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方会留下阵营标志脚印。,1,changeicon,#cda5b0a变形：点击左侧变形按钮，可切换机器人/机械恐龙形态！#n,,skill,#cda5b0a变形金刚专属技能：迅捷之翼！#n,,,,dtxx_beijingtu04,,0,transformers_icon1,3,3475,icon_52,1.9,180,,,,,,20452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,嚎叫,140074,,211,3,140076_2,1,140050_3,140076_1,,,,,,,,,-1,2,,0,嚎叫是个不合群的家伙，他喜欢让别人去处理战略方面的事，自己只要听从钢锁派遣直接去打仗就好了。这也让他成为钢锁在战场上最得力的战士。,,,,,,999,skin76,180,60,60,220,120,120,,bodyeffcet,身体特效：电磁火花闪烁,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方会留下阵营标志脚印。,1,changeicon,#cda5b0a变形：点击左侧变形按钮，可切换机器人/机械恐龙形态！#n,,skill,#cda5b0a变形金刚专属技能：骨刺横扫！#n,,,,dtxx_beijingtu04,,0,transformers_icon1,3,3477,icon_52,1.8,180,,,,,,20453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,色彩旅行者达奇,140075,,212,3,140077_2,1,140077_3,140077_1,,,,,,,,,-1,2,,0,传说他是一名用色彩魔法净化世界的旅行画家。暖色调热情多变，冷色调安静柔和。达奇亦是如此：橙色与蓝色的结合，调出了他的颜色；冷静与热诚的结合，调出了他的性格。,2,解锁道具可由活动获得,,,,999,skin77,180,60,60,220,120,120,,,,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方会留下蓝色颜料。,,,,,,,,,,,,0,,,,,,180,,1,,,,20454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,塔莉娅,140076,,213,3,140078_2,1,140078_3,140078_1,,,,,,,,,-1,2,,0,“来跟我交换吧！只要你有足够特别和有创意的事物，我会付给你你梦想的一切！”一封署名塔莉娅的信被送到了迷你宇宙所有爱好魔法的人手里。一个1900号浮岛，一位美丽又神秘的女王，在奥法星横空出世。,2,解锁道具可由活动获得,,,,999,skin78,180,60,60,220,120,120,,bodyeffcet,身体特效：身上飘散着紫色的花瓣！,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方会留下玫瑰花图案,,,,,,,,,,dtxx_beijingtu13,,0,,,,,,180,,1,,,,20455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,森林隐者巫塔,140077,,214,3,140079_2,1,140079_3,140079_1,,,,,,,,,-1,2,,0,巫塔总是藏在森林深处，只在特定季节现身。他常常用神奇的巫术给人治疗疾病，驱逐噩梦。他能听到动物和精灵的心声，并给予回应和抚慰。他是神秘莫测的森林隐者，也是值得尊敬的森林之子。,2,,,,,999,skin79,180,60,60,220,120,120,,bodyeffcet,身体特效：巫术符文飞扬！,,headicon,头像：解锁头像。,,,,,,,,,,,,,,,0,,,,,,180,,1,,,,20456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,兔子先生拉比,140078,,215,3,skin80_body,,,skin80_showup,,,,,,,,,-1,2,,0,拉比最得意的事就是他能变成兔子先生在不同星球间穿梭旅行。可是爱丽丝却似乎能看穿他的伪装。一张偶然掉落的扑克牌让他们相遇，奇妙的冒险之旅随之开启。这是扑克的魔法吗？不，这是命运的魔法！,2,解锁道具可由活动获得,,,,999,skin80,180,60,60,220,120,120,,bodyeffcet,身体特效：身上飘着兔子纹章,,headicon,头像：解锁头像。,,,,1,changeicon,#cd65b00变形：点击左侧变形按钮，可切换兔子/ 人形形态！#n,,skill,#cd65b00兔子先生专属技能：时间告急！#n,,,,dtxx_beijingtu08,,0,,1,3482,,1.8,180,,1,,,,20458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,碧琪女孩,140079,,216,3,skin81_body,,,skin81_showup,,2,,,,,,,-1,2,,0,碧琪是最出名的“派对小马”，有超常的精力。她个性开朗活泼，喜爱恶作剧和唱歌，还擅长制作甜点。她在和谐之元中代表“欢笑”。,2,,,,,999,skin81,180,60,60,220,120,120,,bodyeffcet,身体特效：身上飘着粉色爱心！,,headicon,头像：解锁头像。,,,,,,,,,,,,,dtxx_beijingtu11,,0,giflogo_70,,,icon_54,,180,,1,,,,20459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,白夜女巫卡洛儿,140080,,217,3,skin82_body,,,skin82_showup,,2,,,,,,,-1,2,,0,卡洛儿喜欢糖果，因为糖果总是带给她好运。流落街头的时候是糖果店收留了她，一颗糖果让她结识了小幽灵“白夜”，也是糖果让她顺利领悟了魔法。抽取一颗今日糖果吧！卡洛儿的糖罐一定会带给你惊喜。,2,,,,,999,skin82,180,60,60,220,120,120,,bodyeffcet,身体特效：身上飘着光之魔法！,,headicon,头像：解锁头像。,,,,,,,,,,,,,dtxx_beijingtu14,,0,,,,,,180,,1,,,,20460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,余小欢,140083,,218,3,140083_2,1,140083_3,140083_1,,3,,,,,,,-1,2,,0,余小欢非常喜欢动画里的超级英雄，当她从一位真正的超级英雄那里得到鼓励之后，披上了星星披风的她相信只要多做好事尽力帮助需要帮忙的人，自己长大以后肯定能成为超级英雄。,2,解锁道具可由活动获得,,,,999,skin83,180,60,60,220,120,120,,,,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方会留下水花脚印,,,,,,,,,,,,0,,,,,,180,,,,,,20461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,章小丸,140084,,219,3,140084_2,1,140084_3,140084_1,,3,,,,,,,-1,2,,0,作为迷萌章鱼族的一员，章小丸却并不愿意一直在海底水草村中生活。大海很辽阔，但他更喜欢浮在海面上，观察璀璨的星空。虽然他没有翅膀，不过他可以通过努力和朋友们的帮助，制造冲向星空的火箭！,2,解锁道具可由活动获得,,,,999,skin84,180,60,60,220,120,120,,bodyeffcet,身体特效：身上飘着浪花泡泡,,headicon,头像：解锁头像。,,,,,,,,,,,,,,,0,,,,,,180,,,,,,20462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,熊小吉,140085,,220,3,,1,140085_3,140085_1,,2,,,,,,,-1,2,,999,人生就是一次探险，探险也是一次测试。危险能够让人认清自己，奔跑就不会被时代抛弃。想要挑战不可能，就跟熊小吉一起去探险吧。,2,解锁道具可由活动获得,,,,999,skin85,180,60,60,220,120,120,,,,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方会留下白熊脚印,,,,,,,,,,,,0,,,,,,180,,,,,,20463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,星光熠熠女孩,140086,,221,3,140086_2,1,140086_3,140086_1,,,,,,,,,-1,2,,268,她拥有不亚于紫悦的强大魔法能力，企图建立“乌托邦”小镇。后被紫悦说服，成为了主角们的朋友。现在的她已成为友谊学校的校长。,2,,,,,999,skin86,180,60,60,220,120,120,,bodyeffcet,身体特效：身上飘着蓝色星光,,headicon,头像：解锁头像。,,,,,,,,,,,,,dtxx_beijingtu11,,0,giflogo_70,,,icon_54,,180,,,,,,20464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,云宝女孩,140087,,222,3,140087_2,1,140087_3,140087_1,,,,,,,,,-1,2,,268,云宝勇敢且外向。喜欢冒险，也喜欢恶作剧。她飞行速度极快，还带着彩虹拖尾，彩虹音爆是她的拿手好戏。她在和谐之元中代表“忠诚”。,2,,,,,999,skin87,180,60,60,220,120,120,,bodyeffcet,身体特效：身上带着彩虹拖尾,,headicon,头像：解锁头像。,,,,,,,,,,,,,dtxx_beijingtu11,,0,giflogo_70,,,icon_54,,180,,,,,,20465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
